Module Code,Module Name,Number of Students,Department/School/Institute,Academic Year,Period
JRN112,History of Journalism - City University,0,Module taken at City University London,2010/11,YEAR
JRN201,Production 2 (Print and Radio) - City University,29,Module taken at City University London,2010/11,YEAR
JRN207,Reporting 2; Features 2 - City University,30,Module taken at City University London,2010/11,YEAR
JRN303,Media Law and Ethics - City University,26,Module taken at City University London,2010/11,YEAR
JRN306,Development Specialism - City University,1,Module taken at City University London,2010/11,YEAR
JRN308,World Religions Specialism - City University,0,Module taken at City University London,2010/11,YEAR
JRN311,Education Specialism - City University,0,Module taken at City University London,2010/11,YEAR
JRN313,Media Specialism - City University,0,Module taken at City University London,2010/11,YEAR
JRN316,Online Journalism Specialism - City University,0,Module taken at City University London,2010/11,YEAR
JRN318,Health Specialism - City University,2,Module taken at City University London,2010/11,YEAR
JRN350,Advanced Practical Journalism (Print) - City University,7,Module taken at City University London,2010/11,YEAR
JRN353,Radio Project - City University,3,Module taken at City University London,2010/11,YEAR
JRN356,International Study - Half Year,5,Module taken at City University London,2010/11,YEAR
BUSM020,Finance for Development,47,School of Business & Management,2010/11,SEM2
MTHM030,Enumerative and Asymptotic Combinatorics,1,School of Mathematical Sciences,2010/11,SEM2
HSP620,Colonialism and Culture in Latin America,21,School of Languages Linguistics and Film,2010/11,SEM2
HSP640,Cuban Society Through Film: Post-1959 Revolution,8,School of Languages Linguistics and Film,2010/11,SEM2
LAW6002,European Comparative Law,16,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
LAW6003,"Law and Globalisation: Companies, International Trade and Human Rights",24,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
LAW6005A,International Commercial Transactions A,5,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
LAW6010,United Kingdom Human Rights Law,46,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
LAW6016,Law and Literature: the Foundations of Law,30,School of Law / Centre for Commercial Law Studies,2010/11,SEM2
CAN7007,Research Methods,0,Barts Cancer Institute,2010/11,SEM3
MAT702,Advanced Topics in Dental Materials (Dental Materials III),0,School of Engineering & Material Science,2010/11,SEM2
CAN7011,Arthroscopic Procedure Skills,0,Barts Cancer Institute,2010/11,SEM2
DENM031,Advanced Fluid Mechanics and Heat Transfer,0,School of Engineering & Material Science,2010/11,SEM1
CANM921,Molecular Diagnostics and Therapeutics,20,Barts Cancer Institute,2010/11,SEM2
CANM933,Introduction to Bioinformatics,9,Barts Cancer Institute,2010/11,SEM2
LAW6046A,Origins of the Western Legal Tradition A,3,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
LIN112,Sounds of English,53,School of Languages Linguistics and Film,2010/11,SEM1
LIN203,Historical Linguistics,40,School of Languages Linguistics and Film,2010/11,SEM1
LIN306,Research Methods in Linguistics,42,School of Languages Linguistics and Film,2010/11,SEM1
FRE293,Semester Abroad - French Erasmus Work Placement,0,School of Languages Linguistics and Film,2010/11,SEM2
FRE295,Semester Abroad - French Non-Erasmus Work Placement,0,School of Languages Linguistics and Film,2010/11,SEM1
FRE297,Year Abroad - French Erasmus Work Placement,12,School of Languages Linguistics and Film,2010/11,YEAR
GEG6105,"Global Historical Geographies, 1492-1800",0,School of Geography,2010/11,SEM1
SBSM007,Project Two (UMBSM),12,School of Biological and Chemical Sciences,2010/11,YEAR
SBSM010,Coral Reef Monitoring and Management,9,School of Biological and Chemical Sciences,2010/11,YEAR
SBSM026,"Aquatic Systems: Science, Policy and Management",7,School of Biological and Chemical Sciences,2010/11,SEM1
FRE304,Lovers and Libertines: Eighteenth Century French Fiction,24,School of Languages Linguistics and Film,2010/11,SEM2
FRE446,Early Modern French Thought II: Psychology and Ethics,17,School of Languages Linguistics and Film,2010/11,SEM1
FRE468B,French Foundations,0,School of Languages Linguistics and Film,2010/11,SEM2
HST7202,Women and Gender in Georgian England,3,School of History,2010/11,SEM2
HST6321,'The Troubles' in Northern Ireland,12,School of History,2010/11,YEAR
HST4106,"History of the Medieval Islamic World, 600-1500",54,School of History,2010/11,SEM2
HST6300,Cinema and Society: Britain 1930-1960,22,School of History,2010/11,YEAR
HST6308,The French Civil War 1934-1944 (I) and (II),13,School of History,2010/11,YEAR
HST6319,A History of Terror in the Modern Age 1858-2008,31,School of History,2010/11,SEM2
HST6401,The Enlightenment (I) and (II),8,School of History,2010/11,YEAR
HST7001,Method and Practice in the History of Political Thought and Intellectual History,21,School of History,2010/11,YEAR
HST7304,"Protest, Violence and Democracy in the Northern Ireland Conflict, C. 1968-Present",0,School of History,2010/11,SEM1
HST7308,The Hidden Wiring: Government and the Constitution since 1945,8,School of History,2010/11,SEM2
HST7314,The Vietnam War,0,School of History,2010/11,SEM1
HST7316,"Nationalism, Patriotism and Cosmopolitanism in Political Thought, Nineteenth-Twentieth Centuries",8,School of History,2010/11,SEM1
HST7403,Christians and Jews in Europe: Perceptions and Encounters 1100-1600,4,School of History,2010/11,SEM2
QLLM100,EU Immigration Law,0,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
QLLM005,Advanced Medical Negligence,7,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM009,Commercial Law Written and Oral Advocacy,12,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM017,Computer Law,8,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM021,Corporate Governance,35,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM036,Global Policy and Economics of Intellectual Property Law,11,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM042,Intellectual Property in the Digital Millennium,4,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM045,International and Comparative Law of Copyright and Related Rights,38,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM051,International Commercial Litigation - Commercial Conflict of Laws,17,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM057,International Law of Armed Conflict and the Use of Force,9,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM062,International Tax Law I,43,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM073,Legal Aspects of International Finance,161,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM075,Legal Theory in the Common Law Tradition,3,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM087,Taxation Principles and Concepts,26,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
ECOM058,Principles of Accounting,14,School of Economics & Finance,2010/11,SEM1
QLLM095,Intellectual Property and the Creative Industries,31,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
HST6323,"Behind Closed Doors: House, Home and Private Life in England, c1660-c1850",13,School of History,2010/11,SEM2
QLLM043A,International and Comparative Commercial Arbitration A,5,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
QLLM052B,International Construction - Contracts and Arbitration B,0,School of Law / Centre for Commercial Law Studies,2010/11,SEM2
FRE602,Advanced Translation for French Erasmus and Associate Students,10,School of Languages Linguistics and Film,2010/11,YEAR
GER061NA,German III (For Native Speakers),0,School of Languages Linguistics and Film,2010/11,SEM1
GER090,German Literature in East and West,13,School of Languages Linguistics and Film,2010/11,YEAR
GER117,Foundations of German Studies,20,School of Languages Linguistics and Film,2010/11,YEAR
RUS209,Short Stories and Important People: the Nineteenth Century,11,School of Languages Linguistics and Film,2010/11,SEM1
RUS212,Russian II (N),3,School of Languages Linguistics and Film,2010/11,YEAR
RUS302,Russian Novel: Self and Society,0,School of Languages Linguistics and Film,2010/11,SEM2
RUS313,Russian Film: Memory and History,2,School of Languages Linguistics and Film,2010/11,SEM2
RUS601,Writing in Russian,0,School of Languages Linguistics and Film,2010/11,YEAR
SML002A,European Culture and Society,2,School of Languages Linguistics and Film,2010/11,SEM1
QLLM106,"EU Constitutional Law I: Concepts, Values and Principles",10,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
QLLM119,Privacy and Information Law,10,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
SEJ015,Discrete Mathematics [Foundation],11,School of Biological and Chemical Sciences,2010/11,SEM3
SEJ030,Communication in Science and Technology,31,School of Biological and Chemical Sciences,2010/11,SEM3
WOFM901,Advanced Mental Health Assessment,57,Wolfson Institute of Preventive Medicine,2010/11,SEM1
SML014,European Studies Research Project,3,School of Languages Linguistics and Film,2010/11,YEAR
SML100,Brief Encounters: Short Stories and Tall Tales,65,School of Languages Linguistics and Film,2010/11,SEM2
SML300,Poetry and Poetic of Resistance,24,School of Languages Linguistics and Film,2010/11,YEAR
SML304,Touch and Read: the Five Senses in Literary Modernism,21,School of Languages Linguistics and Film,2010/11,SEM2
SML310,Single Semester Research Project,0,School of Languages Linguistics and Film,2010/11,SEM1
WHR6002,Molecular Therapeutics,22,William Harvey Research Institute,2010/11,SEM1
WHR6006,Neuroendocrinology,6,William Harvey Research Institute,2010/11,SEM2
CAT512,Catalan II Intensive,0,School of Languages Linguistics and Film,2010/11,YEAR
COM504,Homeward Bound: From The Odyssey to O Brother Where Art Thou?,36,School of Languages Linguistics and Film,2010/11,SEM1
ELE161,Programming Fundamentals,0,School of Engineering & Computer Science,2010/11,SEM1
DEN109,Electrical Technology I,188,School of Engineering & Material Science,2010/11,SEM1
DCS446,Foundations for Information Retrieval,0,School of Engineering & Computer Science,2010/11,SEM1
DCS452,Entrepreneurship in Information Technology,0,School of Engineering & Computer Science,2010/11,SEM2
DCS455,Software Risk Assessment,1,School of Engineering & Computer Science,2010/11,SEM2
DIN7026,Oral Pathology and Microbiology,14,Dental School / Institute of Dentistry,2010/11,SEM2
DIN7042,Clinical Skills II - Manikin (Typodont) Practical Skills,5,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7072,"Anaesthesia, Sedation and Pain Management",2,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7073,Principles of Oral Diseases and Oral Surgery Patient Management,2,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7076,Imaging in Relation to Oral Surgery,2,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7079,Orthodontics in Relation to Oral Surgery,2,Dental School / Institute of Dentistry,2010/11,YEAR
PHY108,Condensed Matter,0,School of Physics & Astronomy,2010/11,SEM1
PHY218,Mathematical Techniques 3,0,School of Physics & Astronomy,2010/11,SEM1
PHY241,Planetary Systems,0,School of Physics & Astronomy,2010/11,SEM1
PHY302,Nuclear Physics and Astrophysics,0,School of Physics & Astronomy,2010/11,SEM1
PHY305,The Physics of Galaxies,0,School of Physics & Astronomy,2010/11,SEM1
PHY308,"Space, Time and Gravity",0,School of Physics & Astronomy,2010/11,SEM1
PHY413,Quantum Mechanics B,1,School of Physics & Astronomy,2010/11,SEM1
PHY7002,Research Methods for Physics EuroMasters,0,School of Physics & Astronomy,2010/11,SEM1
POL100A,Introduction to Politics,3,School of Politics & International Relations,2010/11,SEM1
POL103,Comparative Government and Politics,95,School of Politics & International Relations,2010/11,YEAR
POL210A,"Nations, States and Nationalisms",4,School of Politics & International Relations,2010/11,SEM1
DIN7081,Clinical Audit,2,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7140,Growth and Development,4,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7143,Diagnosis and Treatment Planning,4,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7145,Multidisciplinary Interface,0,Dental School / Institute of Dentistry,2010/11,YEAR
BUSM016,Comparative Employment Relations,20,School of Business & Management,2010/11,SEM1
BUSM017,Managing Diversity,20,School of Business & Management,2010/11,SEM2
CHEM400,Drug Design and Development,0,School of Biological and Chemical Sciences,2010/11,SEM2
QLLM214,Dissertation in Computer and Communications Law,4,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
BUS215,Occupational Psychology,33,School of Business & Management,2010/11,SEM2
DEN412,Surgical Techniques and Safety,11,School of Engineering & Material Science,2010/11,SEM1
JRN327,Technology Specialism - City University,1,Module taken at City University London,2010/11,YEAR
DIN7146,Clinical Techniques,0,Dental School / Institute of Dentistry,2010/11,YEAR
FLM003A,What Is Cinema? [Critical Approaches],4,School of Languages Linguistics and Film,2010/11,SEM1
MTH715U,Introduction to Dynamical Systems,2,School of Mathematical Sciences,2010/11,SEM1
DCS103,Language and Communication,141,School of Engineering & Computer Science,2010/11,SEM2
FLM005,Introduction to British Cinema,30,School of Languages Linguistics and Film,2010/11,SEM2
FLM008,Spanish Cinema: the Films of Luis Bunuel,17,School of Languages Linguistics and Film,2010/11,SEM2
FLM014,The French New Wave,6,School of Languages Linguistics and Film,2010/11,SEM1
FLM104,Scriptwriting: Creativity and Technique,57,School of Languages Linguistics and Film,2010/11,SEM1
FLM204,Directing Drama,25,School of Languages Linguistics and Film,2010/11,SEM1
FLM601,Scriptwriting: Script Development and Genre Research Project,26,School of Languages Linguistics and Film,2010/11,YEAR
FRE055,French Phonetics and Phonology,10,School of Languages Linguistics and Film,2010/11,SEM2
HST6102,Medieval Women II: Women and Religion,9,School of History,2010/11,SEM1
HST6200,"The Hussites: Reform, Revolution and Apocalypse in the Fifteenth Century",23,School of History,2010/11,SEM2
LLU245,Higher-Further Japanese II,1,School of Languages Linguistics and Film,2010/11,SEM1
HST6205,"The English Civil War, 1640-1649",22,School of History,2010/11,SEM1
POL240A,International Relations: Theories and Contemporary Issues,0,School of Politics & International Relations,2010/11,SEM1
POL241B,War and Security in World Politics,1,School of Politics & International Relations,2010/11,SEM2
POL243B,British Politics,5,School of Politics & International Relations,2010/11,SEM2
POL308,Ideology and Political Critique,3,School of Politics & International Relations,2010/11,SEM1
POL325,Electoral Behaviour,6,School of Politics & International Relations,2010/11,SEM1
POL330A,European Integration and the EU as a Political System,5,School of Politics & International Relations,2010/11,SEM1
SML7050,Documentary Film - Theory and Practice,6,School of Languages Linguistics and Film,2010/11,SEM2
POL355,Globalisation: Issues and Debates,42,School of Politics & International Relations,2010/11,SEM2
POL364,International Political Theory,20,School of Politics & International Relations,2010/11,SEM1
POLM005,Typologies and Theories of Migration 1,12,School of Politics & International Relations,2010/11,SEM1
POLM011,Global and Comparative Politics,1,School of Politics & International Relations,2010/11,SEM1
POLM039,Sovereignty and Intervention in International Politics,0,School of Politics & International Relations,2010/11,YEAR
FRE210,Power in Language I: Values and Violence,12,School of Languages Linguistics and Film,2010/11,SEM2
FRE292,Semester Abroad - French Non-Erasmus Study Placement,0,School of Languages Linguistics and Film,2010/11,SEM2
MED52C1,"Part 2, Section C: Examination in Data Interpretation, Including Image Recognition and Related Core Knowledge",331,School of Medicine,2010/11,YEAR
MED52E1,"Part 2, Section E: Annual Hurdle for Completion of Student Selected Components",329,School of Medicine,2010/11,YEAR
MED63B1,"Part 3, Section Bi: Key Knowledge and its Application",344,School of Medicine,2010/11,YEAR
MED63D1,"Part 3, Section D: Examination in Clinical, Communication and Practical Skills",344,School of Medicine,2010/11,YEAR
MED74A1,"Part 4, Section A: Continuous Assessment",43,School of Medicine,2010/11,YEAR
QLLM042A,Intellectual Property in the Digital Millennium A,0,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
QLLM062A,International Tax Law I A,5,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
QLLM076B,Media Law B,0,School of Law / Centre for Commercial Law Studies,2010/11,SEM2
DIN7135,Specific Clinical Skills,3,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7136,Clinical Diagnosis and Treatment Planning,1,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7136,Clinical Diagnosis and Treatment Planning,3,Dental School / Institute of Dentistry,2010/11,YEAR
DIN7137,Research Project (Paediatric Dentistry),1,Dental School / Institute of Dentistry,2010/11,YEAR
SBCM003,Dissertation (Aquatic Ecology by Research),3,School of Biological and Chemical Sciences,2010/11,YEAR
HST7502,"Saladin, Richard the Lionheart and the Third Crusade",12,School of History,2010/11,SEM2
HST5340,Gender and Politics in Britain since 1870,17,School of History,2010/11,SEM2
BUSM062,Public Advocacy Marketing,19,School of Business & Management,2010/11,SEM2
POR601,"Slavery, Colonialism and Postcolonialism in African Cinema",18,School of Languages Linguistics and Film,2010/11,SEM1
GEG5107B,"Health, Inequality and Society: from Social Medicine to Global Biotechnology",6,School of Geography,2010/11,SEM2
ELE595,Software Tools for Engineers,0,School of Engineering & Computer Science,2010/11,SEM1
DIN7008,Properties of Dental Materials I,3,Dental School / Institute of Dentistry,2010/11,SEM1
DIN7009,Properties of Dental Materials/Processing Methods II,24,Dental School / Institute of Dentistry,2010/11,SEM2
GER295,Semester Abroad - German Non-Erasmus Work Placement,0,School of Languages Linguistics and Film,2010/11,SEM1
GER297,Year Abroad - German Erasmus Work Placement,7,School of Languages Linguistics and Film,2010/11,YEAR
MED74C1,"Part 4, Section C: Examination - Specialities II",43,School of Medicine,2010/11,YEAR
